name,F,M,all,ratio,gender
Christen,11183.0,1902.0,13085,-1.77148880392,F
Deena,13079.0,5.0,13084,-7.86932525706,F
Celina,13057.0,6.0,13063,-7.68532019818,F
Jadyn,10330.0,2729.0,13059,-1.33111704141,F
Seymour,10.0,13030.0,13040,7.17242457712,M
Alden,640.0,12391.0,13031,2.96325750526,M
Macie,12980.0,31.0,13011,-6.03717778577,F
Isabell,13001.0,5.0,13006,-7.86334364413,F
Rhiannon,13001.0,5.0,13006,-7.86334364413,F
Agustin,21.0,12975.0,12996,6.42625727031,M
Milo,81.0,12893.0,12974,5.06999065274,M
Harmony,12961.0,13.0,12974,-6.90475076996,F
Krystle,12916.0,44.0,12960,-5.68203249796,F
Mitchel,22.0,12931.0,12953,6.37634035494,M
Brenton,18.0,12923.0,12941,6.57639219063,M
Brook,9699.0,3165.0,12864,-1.11986973182,F
Quintin,7.0,12855.0,12862,7.51557797064,M
Kareem,193.0,12646.0,12839,4.18240604971,M
Benito,31.0,12788.0,12819,6.02227530569,M
Chadwick,22.0,12791.0,12813,6.36545462424,M
Lakeisha,12740.0,36.0,12776,-5.86898299067,F
Augustus,10.0,12765.0,12775,7.15187723668,M
Joselyn,12758.0,5.0,12763,-7.84447589237,F
Wilda,12743.0,15.0,12758,-6.74468717911,F
Tameka,12716.0,41.0,12757,-5.73704425533,F
Jarred,8.0,12743.0,12751,7.37329583853,M
Tate,813.0,11918.0,12731,2.68507403176,M
Josefina,12684.0,35.0,12719,-5.89274857417,F
Aldo,15.0,12699.0,12714,6.74122832809,M
Aden,413.0,12267.0,12680,3.39122041607,M
Linwood,5.0,12632.0,12637,7.8345506435,M
Jena,12623.0,7.0,12630,-7.4973656767,F
Holden,85.0,12524.0,12609,4.99275082596,M
Khalil,97.0,12486.0,12583,4.85765231712,M
